C0 	 N 	 idle
23 	 1 	 72.64
38 	 2 	 67.34
51 	 3 	 64.06
60 	 4 	 55.65
70 	 5 	 51.51
78 	 6 	 50
91 	 7 	 40.61
96 	 8 	 39.24
99 	 9 	 40.96
100 	 10 	 34.48
111 	 11 	 32.53
122 	 12 	 31.53
119 	 13 	 27.77
126 	 14 	 24.14
107 	 15 	 15.15
114 	 16 	 13.08
139 	 17 	 19.88
144 	 18 	 21.04
134 	 19 	 18.84
144 	 20 	 17.8
149 	 21 	 19.08
154 	 22 	 17.27
166 	 23 	 11.45
147 	 24 	 14.8
160 	 25 	 10.02
160 	 26 	 13.45
182 	 27 	 5
164 	 28 	 11.24
180 	 29 	 5.4
164 	 30 	 8.22
165 	 31 	 6.81
178 	 32 	 1.8
181 	 33 	 2.2
179 	 34 	 4.01
191 	 35 	 0.8
189 	 36 	 1.81
171 	 37 	 4.2
178 	 38 	 5.4
175 	 39 	 2.21
174 	 40 	 1.6
175 	 41 	 0.8
179 	 42 	 1.41
177 	 43 	 1.81
181 	 44 	 2.82
180 	 45 	 3.2
187 	 46 	 0
194 	 47 	 0.2
181 	 48 	 2.41
187 	 49 	 0.2
173 	 50 	 0.4
182 	 51 	 0.4
177 	 52 	 0
185 	 53 	 0
178 	 54 	 0.2
177 	 55 	 0
179 	 56 	 0
178 	 57 	 0
178 	 58 	 0
179 	 59 	 0
181 	 60 	 0
183 	 61 	 0
186 	 62 	 0
189 	 63 	 0
186 	 64 	 0
176 	 65 	 0
188 	 66 	 0
191 	 67 	 0
185 	 68 	 0
191 	 69 	 0
181 	 70 	 0
164 	 71 	 0
176 	 72 	 0
165 	 73 	 0
181 	 74 	 0
170 	 75 	 0
76 	 76 	 0
154 	 77 	 0
159 	 78 	 0
167 	 79 	 0
161 	 80 	 0
163 	 81 	 0
166 	 82 	 0
168 	 83 	 0
166 	 84 	 0
132 	 85 	 0
101 	 86 	 0
96 	 87 	 0
88 	 88 	 0
119 	 89 	 0
98 	 90 	 0
91 	 91 	 0
177 	 92 	 0
181 	 93 	 0
187 	 94 	 0
187 	 95 	 0
183 	 96 	 0
186 	 97 	 0
176 	 98 	 0
192 	 99 	 0
139 	 100 	 0
