C0 	 N 	 idle
41 	 1 	 48.13
48 	 2 	 45.88
72 	 3 	 31.36
101 	 4 	 25.31
112 	 5 	 23.2
95 	 6 	 6.59
99 	 7 	 5.34
109 	 8 	 12.33
132 	 9 	 9.04
145 	 10 	 11.3
150 	 11 	 15.54
178 	 12 	 18.88
182 	 13 	 20.14
204 	 14 	 23.57
229 	 15 	 28.64
228 	 16 	 28.59
227 	 17 	 21.93
217 	 18 	 19.21
238 	 19 	 34.85
269 	 20 	 35.11
280 	 21 	 36.95
281 	 22 	 37.02
287 	 23 	 37.99
290 	 24 	 39.88
295 	 25 	 39.84
250 	 26 	 29.09
304 	 27 	 40.79
305 	 28 	 41.71
302 	 29 	 40.4
309 	 30 	 41.51
310 	 31 	 42.17
311 	 32 	 41.31
308 	 33 	 42.54
315 	 34 	 42.87
311 	 35 	 42.9
268 	 36 	 40.18
309 	 37 	 43.2
289 	 38 	 40.87
265 	 39 	 37.98
299 	 40 	 42.91
274 	 41 	 44.05
292 	 42 	 46
285 	 43 	 41.99
282 	 44 	 43.29
304 	 45 	 43.94
309 	 46 	 44.2
291 	 47 	 35.87
277 	 48 	 42.44
310 	 49 	 43.62
294 	 50 	 41.52
